sire,section,line,country,f_sire,f_dam,f_damsire,baba_pos,dirt_pos,distance_pos,catchphrase,aim,comment
レッドスパーダ,注目種牡馬(現役種牡馬 五十音),ヘイロー系,門別産,タイキシャトルUSA,バービーキャットUSA,Storm Cat,,,,,小倉芝1200m(3-4-1-10),テイエムスパーダの貴重な後継も26年5歳が最終世代。25年はテイエムスパーダが葵Sを勝つも、芦毛距離で活躍。園田から出戻ったディーエストッキーも1勝クラスで善戦中。近5年の中での勝ち鞍は芝が短距離型のマイルまでなら通用。コースは小倉、新潟、函館などダートでローカルで好成績。重馬場以上はやや苦手、母父はナスルーラ系とSS系が上位な。
レッドファルクス,注目種牡馬(現役種牡馬 五十音),フォーティナイナー系,千歳産,スウェプトオーヴァーボードUSA,ベルモット,サンデーサイレンスUSA,,,,,新潟ダ1200m(6-0-1-17),25年はレッドシュヴェルトが東京芝1400mの3勝クラスを突破、レッドスティンガーが京王杯2歳Sに出走したものの、オープンの壁に跳ね返される。そんなダートで活躍を求める産駒も多く、芝の3倍以上の勝ち鞍を量産。距離は1200m、1800mで強く、いずれも単複回収率が100%を超え。コースは新潟が得意で、京都と小倉が苦手。芝の成績は上記2頭以外小停滞気味。
レッドベルジュール,注目種牡馬(現役種牡馬 五十音),ディープインパクト系,安平産,ディープインパクト,レッドファンタジアUSA,Unbridled's Song,,,,,中京ダ1400m以下(2-1-0-4),25年は初年度産駒のタガノアンファンが京都芝1400mの3歳1勝クラスを突破。地方で活躍する産駒も出たが、中央でのダートの勝ち鞍はなし、馬券の狙いは芝の短距離。特に2頭が勝ち上がった中京コースでは芝の2頭は母父キングマンボ系という共通点も。ダートで好走する馬は母父ノーザンダンサー系が多い。25年から九州に移動。
ロゴタイプ,注目種牡馬(現役種牡馬 五十音),サドラーズウェルス系,千歳産,ローエングリン,ステレオタイプ,サンデーサイレンスUSA,,,,,京都ダ1800m(3-2-1-12),25年は芝4勝、ダート7勝。オメガギネスがリステッドのグリーンチャンネルC、ボッゴロエが共同通信杯と福島民友Cを勝つなどダートでの活躍が目立った。一方芝ではブルーミンデザインが3勝クラスのオリオン賞入り。芝ダート前後の平坦コースが狙いで2000mを超えると成績が落ちる。ダートも同じく平坦コースが得意。
ロジユニヴァース,注目種牡馬(現役種牡馬 五十音),サンデーサイレンス系,早来産,ネオユニヴァース,アコースティクス,Cape Cross,,,,,芝未勝利戦(2-0-3-8),現在中央に在籍しているほとんどの産駒が自身も久米田オーナーの所有馬で、26年3歳世代の2頭も久米田氏所有。いずれも未勝利だが芝のマイルを中心に複勝圏内に好走している。馬券の狙いは芝なら1400m以上で、距離は長い頃がよく、2600mがスイートスポット。ダートで走る産駒も多く特に1600m〜1800mで穴を開ける。
ロージズインメイ,注目種牡馬(現役種牡馬 五十音),ヘイロー系,米国産,Devil His Due,Tell a Secret,Speak John,,,,,函館ダ1000m(4-1-0-3),ビッグレッドファームの産駒の基盤を支えた一頭も26年1歳がラストクロップ。25年はホウオウルーレットが芝1200mを制覇し、ホウオウ馬引退に花を添えた。近年の産駒の活躍はもっぱらダートで短距離から長距離まで多彩でそつなくこなす。コースは函館、新潟が得意で複勝回収率もまずまず。芝の活躍馬にはリフィール、ダート活躍馬にもニジンスキーを持つ馬が多い。
ワールドエース,注目種牡馬(現役種牡馬 五十音),ディープインパクト系,安平産,ディープインパクト,マンデラGER,Acatenango,,,,,横山武騎手(4-6-5-9),25年は芝3勝、ダート3勝。芝はジュンブロッサムがマイラーズCで2着などマイル路線で活躍。ダートで勝ち上がる馬もいるが2〜3勝クラスで頭打ちになることが多い。狙いは芝で、距離はマイル以上。1000mを超える長距離でも積極的に狙い。コースは東京、阪神、中山。調教師は上福、木村、藤沢和=横山武、戸崎などリーディング上位で結果を出す。
ワールドプレミア,注目種牡馬(現役種牡馬 五十音),ディープインパクト系,安平産,ディープインパクト,マンデラGER,Acatenango,,,,,サンプル不足,25年3歳が初年度産駒。その中から唯一中央で勝ち上がったロブチェンがなんと無敗でホープフルSを制覇。まだ中央で走った産駒は数えるほどだが、グランアルトが未勝利でも掲示板内に複勝することがある芝中距離がよさそう。母父は今挙げた2頭がともにストームキャット系。地方含めダートでデビューした馬も何頭かいるが、今のところ結果は出ていない。
ヴェコマ,,ミスタープロスペクター系,米国,Candy Ride,Mona de Momma,Speightstown,2,1,2,,,ケンタッキーダービーの前哨戦ブルーグラスSを先行策から完勝。4歳時2つのG1含む3勝3勝。BCスプリント取消後に引退。初年度産駒だけで早期39頭の2歳勝ち上がりとなりマッキンジーとの激戦を制し2024年北米新種牡馬チャンピオンに。父・ダート兼用の万能タイプで距離は1400m〜1600mを最も得意とするスピード豊かなマイラー。日本でもデビュー3歳(牝馬)全てが勝ち上がりと好成績。
ヴォラタイル,,サドラーズウェルズ系,米国,Violence,Melody Lady,Unbridled's Song,2,1,1,,,3歳7月のデビュー戦は出遅れながら直線で出走経験馬を抜き去り初勝利。以降キャリアを積みながら、重賞初挑戦をAGヴァンダービルトHG1で1勝。24年に産駒がデビュー、北米の新種牡馬ランキングでトップ5に入り、セリ平均価格も40%上昇。ダート短距離に向くが、芝重賞勝ち馬も出し、柔軟性がある。日本ではテオーエルピスが4連勝で重賞挑み。現時点では1200mがベスト。
